cth_id,courtroom_name,courthouse_name,CourtHouseCode,CourtHouseType
22834,PerfCourtroom_daxyfezwhiv,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_isorgrizxoy,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_ojsyqyeoyi,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_sftahzxdoje,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_jfeoihwranb,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22834,PerfCourtroom_fphsdusorww,PerfCourtHouse_EX0O95jeAU,11,Crown Court
22817,PerfCourtroom_linypxmdaju,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_wenewygpikz,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_ffjzbpdwerp,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_trqkgnjewrd,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_hrqsnamyzqk,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_ioscqxangpo,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_menxcbmqgii,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_jglaymsptky,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_teeamkmojfd,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_xygbqkavrol,PerfCourtHouse_A52A0v84lC,12,Crown Court
22817,PerfCourtroom_zvcrjneezgb,PerfCourtHouse_A52A0v84lC,12,Crown Court
22853,PerfCourtroom_tcfoemhdzyk,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_duxmgknpnt,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_yenbpcrgujn,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_oaragxivria,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_olqiqgeiqid,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_byiirvgjyst,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_uakgvlxsbev,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22853,PerfCourtroom_zqkzskjihc,PerfCourtHouse_srhhOqdHTY,13,Crown Court
22818,PerfCourtroom_bvczhwifyto,PerfCourtHouse_Sc9graELDO,14,Crown Court
22818,PerfCourtroom_euvjcsxzybu,PerfCourtHouse_Sc9graELDO,14,Crown Court
22818,PerfCourtroom_xwwhzbuomcn,PerfCourtHouse_Sc9graELDO,14,Crown Court
22835,PerfCourtroom_wwthompjxww,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22835,PerfCourtroom_wikqekldizr,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22835,PerfCourtroom_vwwtvlqqspv,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22835,PerfCourtroom_autgafjdtgw,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22835,PerfCourtroom_zybwaegqme,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22835,PerfCourtroom_ulydbejmtrd,PerfCourtHouse_NHGofIJRZM,15,Crown Court
22872,PerfCourtroom_vmjdbmktkqt,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_sejretxjwkm,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_lffftudznan,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_puzitwigpjy,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_ingmxydftlc,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_gefjrqtuyei,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_hvkllcexkks,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_demheruplmi,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_dikcxpjgrhj,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22872,PerfCourtroom_yifpawcvews,PerfCourtHouse_bEs5ovJuty,16,Crown Court
22892,PerfCourtroom_acdjdpkkxpk,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_riesnemjqyl,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_xayhfyzrteu,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_ivlmwszdjso,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_hfwhzyfhtvx,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_ybzzxtygspn,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_tcpmquzmcwj,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_ocwalaemanp,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_eplsqhhovgi,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_rucircfimn,PerfCourtHouse_JQMBe2A4sq,17,Crown Court
22892,PerfCourtroom_rucircfimnn,PerfCourtHouse_JQMBe2A4sq,17,
